occupation_title,median_annual_wage_2018,typical_entry_level_education,education_code,work_experience,typical_on_the_job_training
Manicurists and pedicurists    ,24330,Postsecondary nondegree award,5,None,None
Manufactured building and mobile home installers    ,32040,High school diploma or equivalent,7,None,Short-term on-the-job training
Marine engineers and naval architects    ,92560,Bachelors degree,3,None,None
Market research analysts and marketing specialists    ,63120,Bachelors degree,3,None,None
Marketing managers    ,134290,Bachelors degree,3,5 years or more,None
Marriage and family therapists    ,50090,Masters degree,2,None,Internship/residency
Massage therapists    ,41420,Postsecondary nondegree award,5,None,None
Material moving workers,29410,No formal educational credential,8,None,Short-term on-the-job training
Materials engineers    ,92390,Bachelors degree,3,None,None
Materials scientists    ,99800,Bachelors degree,3,None,None
Mathematical science teachers,73230,Doctoral or professional degree,1,None,None
Mathematicians    ,101900,Masters degree,2,None,None
Meat,26950,No formal educational credential,8,None,Short-term on-the-job training
Mechanical door repairers    ,41010,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Mechanical drafters    ,55920,Associates degree,4,None,None
Mechanical engineering technicians    ,56250,Associates degree,4,None,None
Mechanical engineers    ,87370,Bachelors degree,3,None,None
Media and communication equipment workers,79580,High school diploma or equivalent,7,None,Short-term on-the-job training
Media and communication workers,48330,High school diploma or equivalent,7,None,Short-term on-the-job training
Medical and health services managers    ,99730,Bachelors degree,3,Less than 5 years,None
Medical appliance technicians    ,39190,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Medical assistants    ,33610,Postsecondary nondegree award,5,None,None
Medical equipment preparers    ,36240,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Medical equipment repairers    ,49210,Associates degree,4,None,Moderate-term on-the-job training
Medical records and health information technicians    ,40350,Postsecondary nondegree award,5,None,None
Medical scientists,84810,Doctoral or professional degree,1,None,None
Medical secretaries    ,35760,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Medical transcriptionists    ,34770,Postsecondary nondegree award,5,None,None
Meeting,49370,Bachelors degree,3,None,None
Mental health and substance abuse social workers    ,44840,Masters degree,2,None,Internship/residency
Merchandise displayers and window trimmers    ,28450,High school diploma or equivalent,7,None,Short-term on-the-job training
Metal workers and plastic workers,35920,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Metal-refining furnace operators and tenders    ,41220,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Meter readers,40360,High school diploma or equivalent,7,None,Short-term on-the-job training
Microbiologists    ,71650,Bachelors degree,3,None,None
Middle school teachers,58600,Bachelors degree,3,None,None
Milling and planing machine setters,43590,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Millwrights    ,55060,High school diploma or equivalent,7,None,Apprenticeship
Mine cutting and channeling machine operators    ,47170,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Mine shuttle car operators    ,56340,No formal educational credential,8,None,Short-term on-the-job training
Mining and geological engineers,92250,Bachelors degree,3,None,None
Mining machine operators,51490,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Miscellaneous construction and related workers,38860,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Miscellaneous mathematical science occupations,57190,Bachelors degree,3,None,None
Mixing and blending machine setters,37210,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Mobile heavy equipment mechanics,51920,High school diploma or equivalent,7,None,Long-term on-the-job training
Model makers,56130,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Model makers,53100,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Models    ,23770,No formal educational credential,8,None,None
Molders,33340,High school diploma or equivalent,7,None,Long-term on-the-job training
Molding,31480,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Morticians,52650,Associates degree,4,None,Long-term on-the-job training
Motion picture projectionists    ,22760,No formal educational credential,8,None,Short-term on-the-job training
Motor vehicle operators,30360,No formal educational credential,8,None,Short-term on-the-job training
Motorboat mechanics and service technicians    ,40180,High school diploma or equivalent,7,None,Long-term on-the-job training
Motorboat operators    ,50290,Postsecondary nondegree award,5,Less than 5 years,None
Motorcycle mechanics    ,36790,Postsecondary nondegree award,5,None,Short-term on-the-job training
