state,occupation,employee_count,annual_mean_pay,hourly_mean_pay
AL,Psychiatric Aides,1750,26680,12.83
AL,Nursing Assistants,22590,24110,11.59
AL,Orderlies,810,23580,11.34
AL,Occupational Therapy Assistants,530,58700,28.22
AL,Physical Therapist Assistants,1830,57410,27.60
AL,Physical Therapist Aides,1050,26190,12.59
AL,Massage Therapists,480,34890,16.77
AL,Dental Assistants,3160,33650,16.18
AL,Medical Assistants,9180,28460,13.68
AL,Medical Equipment Preparers,1490,28120,13.52
AL,Medical Transcriptionists,550,33780,16.24
AL,Pharmacy Aides,780,21700,10.43
AL,Veterinary Assistants and Laboratory Animal Caretakers,1180,23950,11.52
AL,Phlebotomists,2140,31420,15.10
AL,"Healthcare Support Workers, All Other",1240,31290,15.04
AL,Protective Service Occupations,44520,38450,18.49
AL,First-Line Supervisors of Correctional Officers,460,56630,27.23
AL,First-Line Supervisors of Police and Detectives,1160,68810,33.08
AL,First-Line Supervisors of Fire Fighting and Prevention Workers,1080,63180,30.38
AL,"First-Line Supervisors of Protective Service Workers, All Other",620,48780,23.45
AL,Firefighters,5680,41740,20.07
AL,Fire Inspectors and Investigators,140,68630,33.00
AL,Forest Fire Inspectors and Prevention Specialists,40,34990,16.82
AL,Bailiffs,90,32460,15.61
AL,Correctional Officers and Jailers,4680,36760,17.67
AL,Detectives and Criminal Investigators,1270,64750,31.13
AL,Fish and Game Wardens,140,52620,25.30
AL,Parking Enforcement Workers,60,34790,16.73
AL,Police and Sheriff's Patrol Officers,11410,45930,22.08
AL,Animal Control Workers,230,32500,15.62
AL,Private Detectives and Investigators,200,54200,26.06
AL,Gaming Surveillance Officers and Gaming Investigators,70,36370,17.49
AL,Security Guards,13840,26470,12.73
AL,Crossing Guards,430,22770,10.95
AL,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",1240,19300,9.28
AL,Transportation Security Screeners,240,39850,19.16
AL,"Protective Service Workers, All Other",1430,26370,12.68
AL,Food Preparation and Serving Related Occupations,178590,21380,10.28
AL,Chefs and Head Cooks,880,48360,23.25
AL,First-Line Supervisors of Food Preparation and Serving Workers,17190,31600,15.19
AL,"Cooks, Fast Food",6160,19220,9.24
AL,"Cooks, Institution and Cafeteria",11080,22100,10.63
AL,"Cooks, Restaurant",14930,24080,11.58
AL,"Cooks, Short Order",2520,21910,10.53
AL,"Cooks, All Other",,31540,15.16
AL,Food Preparation Workers,8520,22010,10.58
AL,Bartenders,4440,21840,10.50
AL,"Combined Food Preparation and Serving Workers, Including Fast Food",62030,18680,8.98
AL,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",3940,20180,9.70
AL,Waiters and Waitresses,34020,19750,9.50
AL,"Food Servers, Nonrestaurant",1960,21550,10.36
AL,Dining Room and Cafeteria Attendants and Bartender Helpers,2350,19430,9.34
AL,Dishwashers,3930,20020,9.62
AL,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",4170,19180,9.22
AL,"Food Preparation and Serving Related Workers, All Other",330,23840,11.46
AL,Building and Grounds Cleaning and Maintenance Occupations,58310,25560,12.29
AL,First-Line Supervisors of Housekeeping and Janitorial Workers,2210,40340,19.39
AL,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",1710,43060,20.70
AL,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",28770,23700,11.39
AL,Maids and Housekeeping Cleaners,9840,20180,9.70
AL,Pest Control Workers,2140,32650,15.70
AL,Landscaping and Groundskeeping Workers,12700,26340,12.66
AL,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",270,33140,15.93
AL,Tree Trimmers and Pruners,300,42020,20.20
AL,"Grounds Maintenance Workers, All Other",320,58550,28.15
AL,Personal Care and Service Occupations,49460,23220,11.17
AL,First-Line Supervisors of Gaming Workers,220,33540,16.13
AL,First-Line Supervisors of Personal Service Workers,2580,35710,17.17
AL,Animal Trainers,,32900,15.82
AL,Nonfarm Animal Caretakers,2990,21280,10.23
AL,Gaming and Sports Book Writers and Runners,200,23670,11.38
ND,Surgeons,80,219390,105.48
AL,Motion Picture Projectionists,30,21000,10.10
AL,"Ushers, Lobby Attendants, and Ticket Takers",580,18870,9.07
AL,Amusement and Recreation Attendants,2340,21350,10.26
AL,Costume Attendants,30,33170,15.95
AL,"Locker Room, Coatroom, and Dressing Room Attendants",60,24540,11.80
AL,Embalmers,190,40780,19.61
AL,Funeral Attendants,530,24170,11.62
AL,"Morticians, Undertakers, and Funeral Directors",460,40840,19.63
AL,Barbers,170,39350,18.92
AL,"Hairdressers, Hairstylists, and Cosmetologists",4450,23490,11.29
AL,Manicurists and Pedicurists,380,24500,11.78
AL,Shampooers,,20040,9.64
AL,Skincare Specialists,320,30640,14.73
AL,Baggage Porters and Bellhops,240,20360,9.79
AL,Concierges,150,26500,12.74
AL,Tour and Travel Guides,390,24410,11.74
AL,Childcare Workers,7490,19920,9.58
AL,Personal Care Aides,14310,19250,9.25
AL,Fitness Trainers and Aerobics Instructors,2800,34660,16.66
AL,Recreation Workers,5470,23590,11.34
AL,Residential Advisors,2790,25000,12.02
AL,"Personal Care and Service Workers, All Other",120,30530,14.68
AL,Sales and Related Occupations,211600,35190,16.92
AL,First-Line Supervisors of Retail Sales Workers,21110,42080,20.23
AL,First-Line Supervisors of Non-Retail Sales Workers,3130,79250,38.10
AL,Cashiers,65540,20620,9.91
AL,Counter and Rental Clerks,7020,27330,13.14
AL,Parts Salespersons,4110,32700,15.72
AL,Retail Salespersons,63530,26770,12.87
AL,Advertising Sales Agents,1410,43560,20.94
AL,Insurance Sales Agents,5550,81410,39.14
AL,"Securities, Commodities, and Financial Services Sales Agents",2230,82810,39.81
AL,Travel Agents,410,45070,21.67
AL,"Sales Representatives, Services, All Other",7030,52810,25.39
AL,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",1830,77280,37.16
AL,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",22480,64510,31.01
AL,Demonstrators and Product Promoters,1230,27270,13.11
AL,Real Estate Brokers,270,,
AL,Real Estate Sales Agents,1640,53870,25.90
AL,Sales Engineers,260,87350,42.00
AL,Telemarketers,1820,25640,12.33
AL,Office and Administrative Support Occupations,280290,34810,16.74
AL,First-Line Supervisors of Office and Administrative Support Workers,19240,54030,25.98
AL,"Switchboard Operators, Including Answering Service",1050,24570,11.81
AL,Bill and Account Collectors,2850,35570,17.10
AL,Billing and Posting Clerks,5700,34760,16.71
AL,"Bookkeeping, Accounting, and Auditing Clerks",21260,37250,17.91
AL,Payroll and Timekeeping Clerks,1870,40700,19.57
AL,Procurement Clerks,650,41690,20.04
AL,Tellers,9630,27830,13.38
AL,"Financial Clerks, All Other",210,37640,18.09
AL,Brokerage Clerks,540,50410,24.24
AL,Correspondence Clerks,40,29640,14.25
AL,"Court, Municipal, and License Clerks",2350,31820,15.30
AL,"Credit Authorizers, Checkers, and Clerks",570,36390,17.50
AL,Customer Service Representatives,34750,33580,16.14
AL,"Eligibility Interviewers, Government Programs",2910,41620,20.01
AL,File Clerks,680,25300,12.16
AL,"Hotel, Motel, and Resort Desk Clerks",4220,20690,9.95
AL,"Interviewers, Except Eligibility and Loan",3670,30790,14.81
AL,"Library Assistants, Clerical",1250,23800,11.44
AL,Loan Interviewers and Clerks,2310,33910,16.30
AL,New Accounts Clerks,430,34800,16.73
AL,Order Clerks,770,30900,14.86
AL,"Human Resources Assistants, Except Payroll and Timekeeping",1120,37450,18.00
AL,Receptionists and Information Clerks,13030,26320,12.66
AL,Reservation and Transportation Ticket Agents and Travel Clerks,180,36800,17.69
AL,"Information and Record Clerks, All Other",1110,43110,20.73
AL,Cargo and Freight Agents,750,51330,24.68
AL,Couriers and Messengers,1180,25540,12.28
AL,"Police, Fire, and Ambulance Dispatchers",2760,32280,15.52
AL,"Dispatchers, Except Police, Fire, and Ambulance",2840,38980,18.74
AL,"Meter Readers, Utilities",520,38920,18.71
AL,Postal Service Clerks,1220,50450,24.25
AL,Postal Service Mail Carriers,5740,51320,24.67
AL,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",970,51250,24.64
AL,"Production, Planning, and Expediting Clerks",3150,45550,21.90
AL,"Shipping, Receiving, and Traffic Clerks",7690,32930,15.83
AL,Stock Clerks and Order Fillers,21780,26680,12.83
AL,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",1740,29600,14.23
AL,Executive Secretaries and Executive Administrative Assistants,3210,61140,29.40
AL,Legal Secretaries,3930,41840,20.12
AL,Medical Secretaries,6510,34050,16.37
AL,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",46100,35670,17.15
AL,Computer Operators,640,40660,19.55
AL,Data Entry Keyers,1490,30370,14.60
AL,Word Processors and Typists,350,35820,17.22
AL,Desktop Publishers,70,37670,18.11
AL,Insurance Claims and Policy Processing Clerks,2440,37000,17.79
AL,"Mail Clerks and Mail Machine Operators, Except Postal Service",630,29900,14.38
AL,"Office Clerks, General",29780,25800,12.40
AL,"Office Machine Operators, Except Computer",370,31720,15.25
AL,Statistical Assistants,50,41720,20.06
AL,"Office and Administrative Support Workers, All Other",1950,38900,18.70
AL,"Farming, Fishing, and Forestry Occupations",5800,35050,16.85
AL,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",370,63350,30.45
AL,"Graders and Sorters, Agricultural Products",360,25610,12.31
AL,Agricultural Equipment Operators,260,26010,12.50
AL,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",490,22820,10.97
AL,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1140,27590,13.27
AL,"Agricultural Workers, All Other",330,30560,14.69
AL,Fallers,110,44320,21.31
AL,Logging Equipment Operators,2070,38520,18.52
AL,Log Graders and Scalers,150,39350,18.92
AL,"Logging Workers, All Other",70,33550,16.13
AL,Construction and Extraction Occupations,77840,42330,20.35
AL,First-Line Supervisors of Construction Trades and Extraction Workers,11350,60180,28.93
AL,Boilermakers,360,56540,27.18
AL,Brickmasons and Blockmasons,530,39690,19.08
AL,Stonemasons,100,43710,21.02
AL,Carpenters,6760,40310,19.38
AL,Carpet Installers,130,41490,19.95
AL,"Floor Layers, Except Carpet, Wood, and Hard Tiles",280,35370,17.00
AL,Tile and Marble Setters,250,39050,18.77
AL,Cement Masons and Concrete Finishers,1790,38020,18.28
AL,Construction Laborers,9290,32000,15.38
AL,"Paving, Surfacing, and Tamping Equipment Operators",1070,37450,18.01
AL,Operating Engineers and Other Construction Equipment Operators,6060,40930,19.68
AL,Drywall and Ceiling Tile Installers,780,33680,16.19
AL,Electricians,8990,47590,22.88
AL,Glaziers,510,38080,18.31
AL,"Insulation Workers, Floor, Ceiling, and Wall",490,36960,17.77
AL,"Insulation Workers, Mechanical",340,44830,21.55
AL,"Painters, Construction and Maintenance",2490,36730,17.66
AL,Paperhangers,30,43200,20.77
AL,Pipelayers,2360,34200,16.44
AL,"Plumbers, Pipefitters, and Steamfitters",6400,45260,21.76
AL,Plasterers and Stucco Masons,230,37070,17.82
AL,Reinforcing Iron and Rebar Workers,110,39520,19.00
AL,Roofers,970,35160,16.90
AL,Sheet Metal Workers,1260,38970,18.74
AL,Structural Iron and Steel Workers,1060,48590,23.36
AL,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",330,28530,13.72
AL,Helpers--Carpenters,380,26030,12.51
