st,occupation,tot_emp,hr_mean,avg_mean
AL,"Arts, Design, Entertainment, Sports, and Media Occupations","17,700",22.22,"46,220"
AL,Art Directors,230,39.75,"82,670"
AL,Craft Artists,100,15.88,"33,030"
AL,"Fine Artists, Including Painters, Sculptors, and Illustrators",30,*,*
AL,Multimedia Artists and Animators,130,28.88,"60,060"
AL,"Artists and Related Workers, All Other",50,29.88,"62,150"
AL,Commercial and Industrial Designers,180,31.41,"65,330"
AL,Fashion Designers,**,47.30,"98,380"
AL,Floral Designers,640,11.65,"24,230"
AL,Graphic Designers,"1,610",22.58,"46,960"
AL,Interior Designers,550,27.78,"57,780"
AL,Merchandise Displayers and Window Trimmers,"3,350",13.94,"29,000"
AL,Set and Exhibit Designers,70,24.16,"50,260"
AL,"Designers, All Other",**,11.02,"22,920"
AL,Producers and Directors,730,27.42,"57,040"
AL,Coaches and Scouts,"2,420",*,"44,030"
AL,"Umpires, Referees, and Other Sports Officials",40,*,"20,110"
AL,Music Directors and Composers,80,36.08,"75,050"
AL,Musicians and Singers,160,22.79,*
AL,"Entertainers and Performers, Sports and Related Workers, All Other",50,14.63,*
AL,Radio and Television Announcers,240,15.33,"31,880"
AL,Public Address System and Other Announcers,40,*,*
AL,Broadcast News Analysts,**,49.04,"102,010"
AL,Reporters and Correspondents,480,18.16,"37,770"
AL,Public Relations Specialists,"1,890",25.91,"53,890"
AL,Editors,550,*,*
AL,Technical Writers,700,33.64,"69,970"
AL,Writers and Authors,190,28.17,"58,590"
AL,Interpreters and Translators,250,19.47,"40,510"
AL,Audio and Video Equipment Technicians,770,16.69,"34,720"
AL,Broadcast Technicians,370,17.16,"35,690"
AL,Sound Engineering Technicians,60,18.82,"39,140"
AL,Photographers,480,18.92,"39,360"
AL,"Camera Operators, Television, Video, and Motion Picture",90,21.45,"44,610"
AL,Film and Video Editors,80,24.75,"51,480"
AL,"Media and Communication Equipment Workers, All Other",70,28.92,"60,150"
AL,Healthcare Practitioners and Technical Occupations,"131,000",32.26,"67,090"
AL,Chiropractors,290,41.79,"86,910"
AL,"Dentists, General","1,160",82.64,"171,900"
AL,Dietitians and Nutritionists,760,26.72,"55,580"
AL,Optometrists,480,54.84,"114,070"
AL,Pharmacists,"4,880",58.75,"122,200"
AL,Anesthesiologists,**,#,#
AL,Family and General Practitioners,700,101.71,"211,550"
AL,"Internists, General",200,113.87,"236,850"
AL,Obstetricians and Gynecologists,180,136.72,"284,380"
AL,"Pediatricians, General",410,106.21,"220,910"
AL,Psychiatrists,130,79.91,"166,220"
AL,Surgeons,560,134.05,"278,810"
AL,"Physicians and Surgeons, All Other","4,980",88.23,"183,510"
AL,Physician Assistants,750,44.66,"92,880"
